Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","1999","1999","7021","Valeur annuel","USD","197.9","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2000","2000","7021","Valeur annuel","USD","160","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2001","2001","7021","Valeur annuel","USD","134.5","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2002","2002","7021","Valeur annuel","USD","150.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2003","2003","7021","Valeur annuel","USD","208.9","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2004","2004","7021","Valeur annuel","USD","164.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2005","2005","7021","Valeur annuel","USD","199.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2006","2006","7021","Valeur annuel","USD","164.9","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2007","2007","7021","Valeur annuel","USD","224.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2008","2008","7021","Valeur annuel","USD","263.2","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2009","2009","7021","Valeur annuel","USD","286.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2010","2010","7021","Valeur annuel","USD","238.8","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2011","2011","7021","Valeur annuel","USD","260.8","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2012","2012","7021","Valeur annuel","USD","279.3","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2013","2013","7021","Valeur annuel","USD","274.8","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2014","2014","7021","Valeur annuel","USD","271.2","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2015","2015","7021","Valeur annuel","USD","172.1","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2016","2016","7021","Valeur annuel","USD","198.8","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2017","2017","7021","Valeur annuel","USD","209.5","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2018","2018","7021","Valeur annuel","USD","216.9","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2019","2019","7021","Valeur annuel","USD","239.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2020","2020","7021","Valeur annuel","USD","252.7","A","Chiffre officiel"
